,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
91,8,Portugal,Oporto,,1960-08-14 00:00:00,Portuguese Grand Prix,conventional,Practice 1,1960-08-12,Practice 2,1960-08-12,Practice 3,1960-08-13,Qualifying,1960-08-13,Race,1960-08-14 00:00:00,False,1960
92,9,Italy,Monza,,1960-09-04 00:00:00,Italian Grand Prix,conventional,Practice 1,1960-09-02,Practice 2,1960-09-02,Practice 3,1960-09-03,Qualifying,1960-09-03,Race,1960-09-04 00:00:00,False,1960
93,10,USA,California,,1960-11-20 00:00:00,United States Grand Prix,conventional,Practice 1,1960-11-18,Practice 2,1960-11-18,Practice 3,1960-11-19,Qualifying,1960-11-19,Race,1960-11-20 00:00:00,False,1960
94,1,Monaco,Monte-Carlo,,1961-05-14 00:00:00,Monaco Grand Prix,conventional,Practice 1,1961-05-12,Practice 2,1961-05-12,Practice 3,1961-05-13,Qualifying,1961-05-13,Race,1961-05-14 00:00:00,False,1961
95,2,Netherlands,Zandvoort,,1961-05-22 00:00:00,Dutch Grand Prix,conventional,Practice 1,1961-05-20,Practice 2,1961-05-20,Practice 3,1961-05-21,Qualifying,1961-05-21,Race,1961-05-22 00:00:00,False,1961
96,3,Belgium,Spa,,1961-06-18 00:00:00,Belgian Grand Prix,conventional,Practice 1,1961-06-16,Practice 2,1961-06-16,Practice 3,1961-06-17,Qualifying,1961-06-17,Race,1961-06-18 00:00:00,False,1961
97,4,France,Reims,,1961-07-02 00:00:00,French Grand Prix,conventional,Practice 1,1961-06-30,Practice 2,1961-06-30,Practice 3,1961-07-01,Qualifying,1961-07-01,Race,1961-07-02 00:00:00,False,1961
98,5,UK,Liverpool,,1961-07-15 00:00:00,British Grand Prix,conventional,Practice 1,1961-07-13,Practice 2,1961-07-13,Practice 3,1961-07-14,Qualifying,1961-07-14,Race,1961-07-15 00:00:00,False,1961
99,6,Germany,Nürburg,,1961-08-06 00:00:00,German Grand Prix,conventional,Practice 1,1961-08-04,Practice 2,1961-08-04,Practice 3,1961-08-05,Qualifying,1961-08-05,Race,1961-08-06 00:00:00,False,1961
100,7,Italy,Monza,,1961-09-10 00:00:00,Italian Grand Prix,conventional,Practice 1,1961-09-08,Practice 2,1961-09-08,Practice 3,1961-09-09,Qualifying,1961-09-09,Race,1961-09-10 00:00:00,False,1961
101,8,USA,New York State,,1961-10-08 00:00:00,United States Grand Prix,conventional,Practice 1,1961-10-06,Practice 2,1961-10-06,Practice 3,1961-10-07,Qualifying,1961-10-07,Race,1961-10-08 00:00:00,False,1961
102,1,Netherlands,Zandvoort,,1962-05-20 00:00:00,Dutch Grand Prix,conventional,Practice 1,1962-05-18,Practice 2,1962-05-18,Practice 3,1962-05-19,Qualifying,1962-05-19,Race,1962-05-20 00:00:00,False,1962
103,2,Monaco,Monte-Carlo,,1962-06-03 00:00:00,Monaco Grand Prix,conventional,Practice 1,1962-06-01,Practice 2,1962-06-01,Practice 3,1962-06-02,Qualifying,1962-06-02,Race,1962-06-03 00:00:00,False,1962
104,3,Belgium,Spa,,1962-06-17 00:00:00,Belgian Grand Prix,conventional,Practice 1,1962-06-15,Practice 2,1962-06-15,Practice 3,1962-06-16,Qualifying,1962-06-16,Race,1962-06-17 00:00:00,False,1962
